regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos
Sudeste,SP,,2020-02-25,45919049.0,0.0,0,0,0,,
Sudeste,SP,,2020-02-26,45919049.0,1.0,1,0,0,,
Sudeste,SP,,2020-02-27,45919049.0,1.0,0,0,0,,
Sudeste,SP,,2020-02-28,45919049.0,1.0,0,0,0,,
Sudeste,SP,,2020-02-29,45919049.0,2.0,1,0,0,,
Sudeste,SP,,2020-03-01,45919049.0,2.0,0,0,0,,
Sudeste,SP,,2020-03-02,45919049.0,2.0,0,0,0,,
Sudeste,SP,,2020-03-03,45919049.0,2.0,0,0,0,,
Sudeste,SP,,2020-03-04,45919049.0,3.0,1,0,0,,
Sudeste,SP,,2020-03-05,45919049.0,6.0,3,0,0,,
Sudeste,SP,,2020-03-06,45919049.0,10.0,4,0,0,,
Sudeste,SP,,2020-03-07,45919049.0,13.0,3,0,0,,
Sudeste,SP,,2020-03-08,45919049.0,16.0,3,0,0,,
Sudeste,SP,,2020-03-09,45919049.0,16.0,0,0,0,,
Sudeste,SP,,2020-03-10,45919049.0,19.0,3,0,0,,
Sudeste,SP,,2020-03-11,45919049.0,30.0,11,0,0,,
Sudeste,SP,,2020-03-12,45919049.0,42.0,12,0,0,,
Sudeste,SP,,2020-03-13,45919049.0,56.0,14,0,0,,
Sudeste,SP,,2020-03-14,45919049.0,65.0,9,0,0,,
Sudeste,SP,,2020-03-15,45919049.0,136.0,71,0,0,,
Sudeste,SP,,2020-03-16,45919049.0,152.0,16,0,0,,
Sudeste,SP,,2020-03-17,45919049.0,164.0,12,1,1,,
Sudeste,SP,,2020-03-18,45919049.0,240.0,76,4,3,,
Sudeste,SP,,2020-03-19,45919049.0,286.0,46,4,0,,
Sudeste,SP,,2020-03-20,45919049.0,396.0,110,9,5,,
Sudeste,SP,,2020-03-21,45919049.0,459.0,63,15,6,,
Sudeste,SP,,2020-03-22,45919049.0,631.0,172,22,7,,
Sudeste,SP,,2020-03-23,45919049.0,745.0,114,30,8,,
Sudeste,SP,,2020-03-24,45919049.0,810.0,65,40,10,,
Sudeste,SP,,2020-03-25,45919049.0,862.0,52,48,8,,
Sudeste,SP,,2020-03-26,45919049.0,1052.0,190,58,10,,
Sudeste,SP,,2020-03-27,45919049.0,1223.0,171,68,10,,
Sudeste,SP,,2020-03-28,45919049.0,1406.0,183,84,16,,
Sudeste,SP,,2020-03-29,45919049.0,1451.0,45,98,14,,
Sudeste,SP,,2020-03-30,45919049.0,1517.0,66,113,15,,
Sudeste,SP,,2020-03-31,45919049.0,2339.0,822,136,23,,
Sudeste,SP,,2020-04-01,45919049.0,2981.0,642,164,28,,
Sudeste,SP,,2020-04-02,45919049.0,3506.0,525,188,24,,
Sudeste,SP,,2020-04-03,45919049.0,4048.0,542,219,31,,
Sudeste,SP,,2020-04-04,45919049.0,4466.0,418,260,41,,
Sudeste,SP,,2020-04-05,45919049.0,4620.0,154,275,15,,
Sudeste,SP,,2020-04-06,45919049.0,4866.0,246,304,29,,
Sudeste,SP,,2020-04-07,45919049.0,5682.0,816,371,67,,
Sudeste,SP,,2020-04-08,45919049.0,6708.0,1026,428,57,,
Sudeste,SP,,2020-04-09,45919049.0,7480.0,772,496,68,,
Sudeste,SP,,2020-04-10,45919049.0,8216.0,736,540,44,,
Sudeste,SP,,2020-04-11,45919049.0,8419.0,203,560,20,,
Sudeste,SP,,2020-04-12,45919049.0,8755.0,336,588,28,,
Sudeste,SP,,2020-04-13,45919049.0,8895.0,140,608,20,,
Sudeste,SP,,2020-04-14,45919049.0,9371.0,476,695,87,,
Sudeste,SP,,2020-04-15,45919049.0,11043.0,1672,778,83,,
Sudeste,SP,,2020-04-16,45919049.0,11568.0,525,853,75,,
Sudeste,SP,,2020-04-17,45919049.0,12841.0,1273,928,75,,
Sudeste,SP,,2020-04-18,45919049.0,13894.0,1053,991,63,,
Sudeste,SP,,2020-04-19,45919049.0,14267.0,373,1015,24,,
Sudeste,SP,,2020-04-20,45919049.0,14580.0,313,1037,22,,
Sudeste,SP,,2020-04-21,45919049.0,15385.0,805,1093,56,,
Sudeste,SP,,2020-04-22,45919049.0,15914.0,529,1134,41,,
Sudeste,SP,,2020-04-23,45919049.0,16740.0,826,1345,211,,
Sudeste,SP,,2020-04-24,45919049.0,17826.0,1086,1512,167,,
Sudeste,SP,,2020-04-25,45919049.0,20004.0,2178,1667,155,,
Sudeste,SP,,2020-04-26,45919049.0,20715.0,711,1700,33,,
Sudeste,SP,,2020-04-27,45919049.0,21696.0,981,1825,125,,
Sudeste,SP,,2020-04-28,45919049.0,24041.0,2345,2049,224,,
Sudeste,SP,,2020-04-29,45919049.0,26158.0,2117,2247,198,,
Sudeste,SP,,2020-04-30,45919049.0,28698.0,2540,2375,128,,
Sudeste,SP,,2020-05-01,45919049.0,30374.0,1676,2511,136,,
Sudeste,SP,,2020-05-02,45919049.0,31174.0,800,2586,75,,
Sudeste,SP,,2020-05-03,45919049.0,31772.0,598,2627,41,,
Sudeste,SP,,2020-05-04,45919049.0,32187.0,415,2654,27,,
Sudeste,SP,,2020-05-05,45919049.0,34053.0,1866,2851,197,,
Sudeste,SP,,2020-05-06,45919049.0,37853.0,3800,3045,194,,
Sudeste,SP,,2020-05-07,45919049.0,39928.0,2075,3206,161,,
Sudeste,SP,,2020-05-08,45919049.0,41830.0,1902,3416,210,,
Sudeste,SP,,2020-05-09,45919049.0,44411.0,2581,3608,192,,
Sudeste,SP,,2020-05-10,45919049.0,45444.0,1033,3709,101,,
Sudeste,SP,,2020-05-11,45919049.0,46131.0,687,3743,34,,
Sudeste,SP,,2020-05-12,45919049.0,47719.0,1588,3949,206,,
Sudeste,SP,,2020-05-13,45919049.0,51097.0,3378,4118,169,,
Sudeste,SP,,2020-05-14,45919049.0,54286.0,3189,4315,197,,
Sudeste,SP,,2020-05-15,45919049.0,58378.0,4092,4501,186,,
Sudeste,SP,,2020-05-16,45919049.0,61183.0,2805,4688,187,,
Sudeste,SP,,2020-05-17,45919049.0,62345.0,1162,4782,94,,
Sudeste,SP,,2020-05-18,45919049.0,63066.0,721,4823,41,,
Sudeste,SP,,2020-05-19,45919049.0,65995.0,2929,5147,324,,
Sudeste,SP,,2020-05-20,45919049.0,69859.0,3864,5363,216,,
Sudeste,SP,,2020-05-21,45919049.0,73739.0,3880,5558,195,,
Sudeste,SP,,2020-05-22,45919049.0,76871.0,3132,5773,215,,
Sudeste,SP,,2020-05-23,45919049.0,80558.0,3687,6045,272,,
Sudeste,SP,,2020-05-24,45919049.0,82161.0,1603,6163,118,,
Sudeste,SP,,2020-05-25,45919049.0,83625.0,1464,6220,57,,
Sudeste,SP,,2020-05-26,45919049.0,86017.0,2392,6423,203,,
Sudeste,SP,,2020-05-27,45919049.0,89483.0,3466,6712,289,,
Sudeste,SP,,2020-05-28,45919049.0,95865.0,6382,6980,268,,
Sudeste,SP,,2020-05-29,45919049.0,101556.0,5691,7275,295,,
Sudeste,SP,,2020-05-30,45919049.0,107142.0,5586,7532,257,,
Sudeste,SP,,2020-05-31,45919049.0,109698.0,2556,7615,83,,
Sudeste,SP,,2020-06-01,45919049.0,111296.0,1598,7667,52,,
Sudeste,SP,,2020-06-02,45919049.0,118295.0,6999,7994,327,,
Sudeste,SP,,2020-06-03,45919049.0,123483.0,5188,8276,282,,
Sudeste,SP,,2020-06-04,45919049.0,129200.0,5717,8560,284,,
Sudeste,SP,,2020-06-05,45919049.0,134565.0,5365,8842,282,,
Sudeste,SP,,2020-06-06,45919049.0,140549.0,5984,9058,216,,
Sudeste,SP,,2020-06-07,45919049.0,143073.0,2524,9145,87,,
Sudeste,SP,,2020-06-08,45919049.0,144593.0,1520,9188,43,,
Sudeste,SP,,2020-06-09,45919049.0,150138.0,5545,9522,334,,
Sudeste,SP,,2020-06-10,45919049.0,156316.0,6178,9862,340,,
Sudeste,SP,,2020-06-11,45919049.0,162520.0,6204,10145,283,,
Sudeste,SP,,2020-06-12,45919049.0,167900.0,5380,10368,223,,
Sudeste,SP,,2020-06-13,45919049.0,172875.0,4975,10581,213,,
Sudeste,SP,,2020-06-14,45919049.0,178202.0,5327,10694,113,,
Sudeste,SP,,2020-06-15,45919049.0,181460.0,3258,10767,73,,
Sudeste,SP,,2020-06-16,45919049.0,190285.0,8825,11132,365,,
Sudeste,SP,,2020-06-17,45919049.0,191517.0,1232,11521,389,,
Sudeste,SP,,2020-06-18,45919049.0,192628.0,1111,11846,325,,
Sudeste,SP,,2020-06-19,45919049.0,211658.0,19030,12232,386,,
Sudeste,SP,,2020-06-20,45919049.0,215793.0,4135,12494,262,,
Sudeste,SP,,2020-06-21,45919049.0,219185.0,3392,12588,94,,
Sudeste,SP,,2020-06-22,45919049.0,221973.0,2788,12634,46,,
Sudeste,SP,,2020-06-23,45919049.0,229475.0,7502,13068,434,,
Sudeste,SP,,2020-06-24,45919049.0,238822.0,9347,13352,284,,
Sudeste,SP,,2020-06-25,45919049.0,248587.0,9765,13759,407,,
Sudeste,SP,,2020-06-26,45919049.0,258508.0,9921,13966,207,,
Sudeste,SP,,2020-06-27,45919049.0,265581.0,7073,14263,297,,
Sudeste,SP,,2020-06-28,45919049.0,271737.0,6156,14338,75,,
Sudeste,SP,,2020-06-29,45919049.0,275145.0,3408,14398,60,,
Sudeste,SP,,2020-06-30,45919049.0,281380.0,6235,14763,365,,
Sudeste,SP,,2020-07-01,45919049.0,289935.0,8555,15030,267,,
Sudeste,SP,,2020-07-02,45919049.0,302179.0,12244,15351,321,,
Sudeste,SP,,2020-07-03,45919049.0,310702.0,8523,15694,343,,
Sudeste,SP,,2020-07-04,45919049.0,312530.0,1828,15996,302,,
Sudeste,SP,,2020-07-05,45919049.0,320179.0,7649,16078,82,,
Sudeste,SP,,2020-07-06,45919049.0,323070.0,2891,16134,56,,
Sudeste,SP,,2020-07-07,45919049.0,332708.0,9638,16475,341,,
Sudeste,SP,,2020-07-08,45919049.0,341365.0,8657,16788,313,,
Sudeste,SP,,2020-07-09,45919049.0,349715.0,8350,17118,330,,
Sudeste,SP,,2020-07-10,45919049.0,359110.0,9395,17442,324,,
Sudeste,SP,,2020-07-11,45919049.0,366890.0,7780,17702,260,,
Sudeste,SP,,2020-07-12,45919049.0,371997.0,5107,17848,146,,
Sudeste,SP,,2020-07-13,45919049.0,374607.0,2610,17907,59,,
Sudeste,SP,,2020-07-14,45919049.0,386607.0,12000,18324,417,,
Sudeste,SP,,2020-07-15,45919049.0,393176.0,6569,18640,316,,
Sudeste,SP,,2020-07-16,45919049.0,402048.0,8872,19038,398,,
Sudeste,SP,,2020-07-17,45919049.0,407415.0,5367,19377,339,,
Sudeste,SP,,2020-07-18,45919049.0,412027.0,4612,19647,270,,
Sudeste,SP,,2020-07-19,45919049.0,415049.0,3022,19732,85,,
Sudeste,SP,,2020-07-20,45919049.0,416434.0,1385,19788,56,,
Sudeste,SP,,2020-07-21,45919049.0,422669.0,6235,20171,383,,
Sudeste,SP,,2020-07-22,45919049.0,439446.0,16777,20532,361,,
Sudeste,SP,,2020-07-23,45919049.0,452007.0,12561,20894,362,,
Sudeste,SP,,2020-07-24,45919049.0,463218.0,11211,21206,312,,
Sudeste,SP,,2020-07-25,45919049.0,479481.0,16263,21517,311,,
Sudeste,SP,,2020-07-26,45919049.0,483982.0,4501,21606,89,,
Sudeste,SP,,2020-07-27,45919049.0,487654.0,3672,21676,70,,
Sudeste,SP,,2020-07-28,45919049.0,487654.0,0,21676,0,,
Sudeste,SP,,2020-07-29,45919049.0,514197.0,26543,22389,713,,
Sudeste,SP,,2020-07-30,45919049.0,529006.0,14809,22710,321,,
Sudeste,SP,,2020-07-31,45919049.0,542304.0,13298,22997,287,,
Sudeste,SP,,2020-08-01,45919049.0,552318.0,10014,23236,239,,
Sudeste,SP,,2020-08-02,45919049.0,558685.0,6367,23317,81,,
Sudeste,SP,,2020-08-03,45919049.0,560218.0,1533,23365,48,,
Sudeste,SP,,2020-08-04,45919049.0,575589.0,15371,23702,337,,
Sudeste,SP,,2020-08-05,45919049.0,585265.0,9676,24109,407,,
Sudeste,SP,,2020-08-06,45919049.0,598670.0,13405,24448,339,,
Sudeste,SP,,2020-08-07,45919049.0,608379.0,9709,24735,287,,
Sudeste,SP,,2020-08-08,45919049.0,621731.0,13352,25016,281,,
Sudeste,SP,,2020-08-09,45919049.0,627126.0,5395,25114,98,,
Sudeste,SP,,2020-08-10,45919049.0,628415.0,1289,25151,37,,
Sudeste,SP,,2020-08-11,45919049.0,639562.0,11147,25571,420,,
Sudeste,SP,,2020-08-12,45919049.0,655181.0,15619,25869,298,,
Sudeste,SP,,2020-08-13,45919049.0,674455.0,19274,26324,455,,
Sudeste,SP,,2020-08-14,45919049.0,686122.0,11667,26613,289,,
Sudeste,SP,,2020-08-15,45919049.0,697530.0,11408,26780,167,,
Sudeste,SP,,2020-08-16,45919049.0,699493.0,1963,26852,72,,
Sudeste,SP,,2020-08-17,45919049.0,702665.0,3172,26899,47,,
Sudeste,SP,,2020-08-18,45919049.0,711530.0,8865,27315,416,,
Sudeste,SP,,2020-08-19,45919049.0,721377.0,9847,27591,276,,
Sudeste,SP,,2020-08-20,45919049.0,730828.0,9451,27905,314,,
Sudeste,SP,,2020-08-21,45919049.0,735960.0,5132,28155,250,,
Sudeste,SP,,2020-08-22,45919049.0,749244.0,13284,28392,237,,
Sudeste,SP,,2020-08-23,45919049.0,754129.0,4885,28467,75,,
Sudeste,SP,,2020-08-24,45919049.0,756480.0,2351,28505,38,,
Sudeste,SP,,2020-08-25,45919049.0,765670.0,9190,28912,407,,
Sudeste,SP,,2020-08-26,45919049.0,776135.0,10465,29194,282,,
Sudeste,SP,,2020-08-27,45919049.0,784453.0,8318,29415,221,,
Sudeste,SP,,2020-08-28,45919049.0,796209.0,11756,29694,279,,
Sudeste,SP,,2020-08-29,45919049.0,801422.0,5213,29944,250,,
Sudeste,SP,,2020-08-30,45919049.0,803404.0,1982,29978,34,,
Sudeste,SP,,2020-08-31,45919049.0,804342.0,938,30014,36,,
Sudeste,SP,,2020-09-01,45919049.0,814375.0,10033,30375,361,,
Sudeste,SP,,2020-09-02,45919049.0,826331.0,11956,30673,298,,
Sudeste,SP,,2020-09-03,45919049.0,837978.0,11647,30905,232,,
Sudeste,SP,,2020-09-04,45919049.0,845016.0,7038,31091,186,,
Sudeste,SP,,2020-09-05,45919049.0,853085.0,8069,31313,222,,
Sudeste,SP,,2020-09-06,45919049.0,855722.0,2637,31353,40,,
Sudeste,SP,,2020-09-07,45919049.0,857330.0,1608,31377,24,,
Sudeste,SP,,2020-09-08,45919049.0,858783.0,1453,31430,53,,
Sudeste,SP,,2020-09-09,45919049.0,866576.0,7793,31821,391,,
Sudeste,SP,,2020-09-10,45919049.0,874754.0,8178,32104,283,,
Sudeste,SP,,2020-09-11,45919049.0,882809.0,8055,32338,234,,
Sudeste,SP,,2020-09-12,45919049.0,890690.0,7881,32567,229,,
Sudeste,SP,,2020-09-13,45919049.0,892257.0,1567,32606,39,,
Sudeste,SP,,2020-09-14,45919049.0,893349.0,1092,32642,36,,
Sudeste,SP,,2020-09-15,45919049.0,901271.0,7922,32963,321,,
Sudeste,SP,,2020-09-16,45919049.0,909428.0,8157,33253,290,,
Sudeste,SP,,2020-09-17,45919049.0,916821.0,7393,33472,219,,
Sudeste,SP,,2020-09-18,45919049.0,924532.0,7711,33678,206,,
Sudeste,SP,,2020-09-19,45919049.0,931673.0,7141,33927,249,,
Sudeste,SP,,2020-09-20,45919049.0,935300.0,3627,33952,25,,
Sudeste,SP,,2020-09-21,45919049.0,937332.0,2032,33984,32,,
Sudeste,SP,,2020-09-22,45919049.0,945422.0,8090,34266,282,,
Sudeste,SP,,2020-09-23,45919049.0,951973.0,6551,34492,226,,
Sudeste,SP,,2020-09-24,45919049.0,958240.0,6267,34677,185,,
Sudeste,SP,,2020-09-25,45919049.0,964921.0,6681,34877,200,,
Sudeste,SP,,2020-09-26,45919049.0,970888.0,5967,35063,186,,
Sudeste,SP,,2020-09-27,45919049.0,972237.0,1349,35108,45,,
Sudeste,SP,,2020-09-28,45919049.0,973142.0,905,35125,17,,
Sudeste,SP,,2020-09-29,45919049.0,979519.0,6377,35391,266,,
Sudeste,SP,,2020-09-30,45919049.0,985628.0,6109,35622,231,,
Sudeste,SP,,2020-10-01,45919049.0,991725.0,6097,35804,182,,
Sudeste,SP,,2020-10-02,45919049.0,997333.0,5608,35956,152,,
Sudeste,SP,,2020-10-03,45919049.0,1003429.0,6096,36136,180,,
Sudeste,SP,,2020-10-04,45919049.0,1003902.0,473,36178,42,,
Sudeste,SP,,2020-10-05,45919049.0,1004579.0,677,36220,42,,
Sudeste,SP,,2020-10-06,45919049.0,1010839.0,6260,36490,270,,
Sudeste,SP,,2020-10-07,45919049.0,1016755.0,5916,36669,179,,
Sudeste,SP,,2020-10-08,45919049.0,1022404.0,5649,36884,215,,
Sudeste,SP,,2020-10-09,45919049.0,1028190.0,5786,37068,184,,
Sudeste,SP,,2020-10-10,45919049.0,1034816.0,6626,37223,155,,
Sudeste,SP,,2020-10-11,45919049.0,1037660.0,2844,37256,33,,
Sudeste,SP,,2020-10-12,45919049.0,1038344.0,684,37279,23,,
