Territory	Date	t	N	∆S(t)	∆C(t)	∆I(t)	∆R(t)	∆D(t)
['SP, SP, *']	2020-02-25	0	46289333	-2	2	2	0	0
['SP, SP, *']	2020-02-26	1	46289333	-1	1	1	0	0
['SP, SP, *']	2020-02-27	2	46289333	-1	1	1	0	0
['SP, SP, *']	2020-02-28	3	46289333	-1	1	1	0	0
['SP, SP, *']	2020-02-29	4	46289333	-1	1	1	0	0
['SP, SP, *']	2020-03-01	5	46289333	-1	1	1	0	0
['SP, SP, *']	2020-03-02	6	46289333	-1	1	1	0	0
['SP, SP, *']	2020-03-03	7	46289333	0	0	0	0	0
['SP, SP, *']	2020-03-04	8	46289333	-1	1	1	0	0
['SP, SP, *']	2020-03-05	9	46289333	-1	1	1	0	0
['SP, SP, *']	2020-03-06	10	46289333	-2	2	2	0	0
['SP, SP, *']	2020-03-07	11	46289333	-3	3	3	0	0
['SP, SP, *']	2020-03-08	12	46289333	-4	4	4	0	0
['SP, SP, *']	2020-03-09	13	46289333	-4	4	4	0	0
['SP, SP, *']	2020-03-10	14	46289333	-5	5	3	2	0
['SP, SP, *']	2020-03-11	15	46289333	-8	8	7	1	0
['SP, SP, *']	2020-03-12	16	46289333	-11	11	10	1	0
['SP, SP, *']	2020-03-13	17	46289333	-11	11	10	1	0
['SP, SP, *']	2020-03-14	18	46289333	-15	15	14	1	0
['SP, SP, *']	2020-03-15	19	46289333	-14	14	13	1	0
['SP, SP, *']	2020-03-16	20	46289333	-39	39	38	1	0
['SP, SP, *']	2020-03-17	21	46289333	-41	41	41	0	0
['SP, SP, *']	2020-03-18	22	46289333	-60	60	59	0	1
['SP, SP, *']	2020-03-19	23	46289333	-69	69	68	0	1
['SP, SP, *']	2020-03-20	24	46289333	-93	93	91	-1	3
['SP, SP, *']	2020-03-21	25	46289333	-86	86	84	-1	3
['SP, SP, *']	2020-03-22	26	46289333	-120	120	117	-1	4
['SP, SP, *']	2020-03-23	27	46289333	-111	111	108	-3	6
['SP, SP, *']	2020-03-24	28	46289333	-117	117	113	-3	7
['SP, SP, *']	2020-03-25	29	46289333	-178	178	171	-6	13
['SP, SP, *']	2020-03-26	30	46289333	-219	219	210	-6	15
['SP, SP, *']	2020-03-27	31	46289333	-244	244	235	-8	17
['SP, SP, *']	2020-03-28	32	46289333	-265	265	253	-6	18
['SP, SP, *']	2020-03-29	33	46289333	-237	237	226	-8	19
['SP, SP, *']	2020-03-30	34	46289333	-279	279	247	5	27
['SP, SP, *']	2020-03-31	35	46289333	-504	504	471	1	32
['SP, SP, *']	2020-04-01	36	46289333	-605	605	556	16	33
['SP, SP, *']	2020-04-02	37	46289333	-701	701	645	19	37
['SP, SP, *']	2020-04-03	38	46289333	-807	807	731	33	43
['SP, SP, *']	2020-04-04	39	46289333	-907	907	837	17	53
['SP, SP, *']	2020-04-05	40	46289333	-944	944	846	43	55
['SP, SP, *']	2020-04-06	41	46289333	-957	957	867	35	55
['SP, SP, *']	2020-04-07	42	46289333	-955	955	859	29	67
['SP, SP, *']	2020-04-08	43	46289333	-1065	1065	920	70	75
['SP, SP, *']	2020-04-09	44	46289333	-1135	1135	956	91	88
['SP, SP, *']	2020-04-10	45	46289333	-1191	1191	992	107	92
['SP, SP, *']	2020-04-11	46	46289333	-1129	1129	912	131	86
['SP, SP, *']	2020-04-12	47	46289333	-1181	1181	987	105	89
['SP, SP, *']	2020-04-13	48	46289333	-1151	1151	919	145	87
['SP, SP, *']	2020-04-14	49	46289333	-1054	1054	640	321	93
['SP, SP, *']	2020-04-15	50	46289333	-1239	1239	741	398	100
['SP, SP, *']	2020-04-16	51	46289333	-1168	1168	590	476	102
['SP, SP, *']	2020-04-17	52	46289333	-1321	1321	654	556	111
['SP, SP, *']	2020-04-18	53	46289333	-1564	1564	817	624	123
['SP, SP, *']	2020-04-19	54	46289333	-1575	1575	793	660	122
['SP, SP, *']	2020-04-20	55	46289333	-1624	1624	833	668	123
['SP, SP, *']	2020-04-21	56	46289333	-1718	1718	928	676	114
['SP, SP, *']	2020-04-22	57	46289333	-1392	1392	504	786	102
['SP, SP, *']	2020-04-23	58	46289333	-1478	1478	527	810	141
['SP, SP, *']	2020-04-24	59	46289333	-1424	1424	425	832	167
['SP, SP, *']	2020-04-25	60	46289333	-1746	1746	794	759	193
['SP, SP, *']	2020-04-26	61	46289333	-1842	1842	852	794	196
['SP, SP, *']	2020-04-27	62	46289333	-2033	2033	1060	748	225
['SP, SP, *']	2020-04-28	63	46289333	-2473	2473	1547	653	273
['SP, SP, *']	2020-04-29	64	46289333	-2927	2927	1836	773	318
['SP, SP, *']	2020-04-30	65	46289333	-3417	3417	2369	754	294
['SP, SP, *']	2020-05-01	66	46289333	-3585	3585	2397	903	285
['SP, SP, *']	2020-05-02	67	46289333	-3191	3191	1793	1135	263
['SP, SP, *']	2020-05-03	68	46289333	-3159	3159	1745	1149	265
['SP, SP, *']	2020-05-04	69	46289333	-2997	2997	1542	1218	237
['SP, SP, *']	2020-05-05	70	46289333	-2861	2861	1330	1302	229
['SP, SP, *']	2020-05-06	71	46289333	-3341	3341	2055	1058	228
['SP, SP, *']	2020-05-07	72	46289333	-3209	3209	1842	1130	237
['SP, SP, *']	2020-05-08	73	46289333	-3273	3273	1941	1073	259
['SP, SP, *']	2020-05-09	74	46289333	-3782	3782	2196	1294	292
['SP, SP, *']	2020-05-10	75	46289333	-3906	3906	2237	1360	309
['SP, SP, *']	2020-05-11	76	46289333	-3984	3984	2162	1511	311
['SP, SP, *']	2020-05-12	77	46289333	-3905	3905	1729	1862	314
['SP, SP, *']	2020-05-13	78	46289333	-3784	3784	1209	2268	307
['SP, SP, *']	2020-05-14	79	46289333	-4102	4102	1136	2649	317
['SP, SP, *']	2020-05-15	80	46289333	-4728	4728	1599	2819	310
['SP, SP, *']	2020-05-16	81	46289333	-4792	4792	1943	2540	309
['SP, SP, *']	2020-05-17	82	46289333	-4829	4829	2003	2519	307
['SP, SP, *']	2020-05-18	83	46289333	-4839	4839	2136	2394	309
['SP, SP, *']	2020-05-19	84	46289333	-5222	5222	2616	2264	342
['SP, SP, *']	2020-05-20	85	46289333	-5361	5361	2407	2598	356
['SP, SP, *']	2020-05-21	86	46289333	-5558	5558	2695	2508	355
['SP, SP, *']	2020-05-22	87	46289333	-5284	5284	2374	2547	363
['SP, SP, *']	2020-05-23	88	46289333	-5536	5536	2172	2976	388
['SP, SP, *']	2020-05-24	89	46289333	-5662	5662	2181	3086	395
['SP, SP, *']	2020-05-25	90	46289333	-5874	5874	2305	3170	399
['SP, SP, *']	2020-05-26	91	46289333	-5721	5721	2159	3197	365
['SP, SP, *']	2020-05-27	92	46289333	-5607	5607	2070	3152	385
['SP, SP, *']	2020-05-28	93	46289333	-6322	6322	2463	3453	406
['SP, SP, *']	2020-05-29	94	46289333	-7053	7053	2655	3969	429
['SP, SP, *']	2020-05-30	95	46289333	-7595	7595	3189	3981	425
['SP, SP, *']	2020-05-31	96	46289333	-7868	7868	3436	4017	415
['SP, SP, *']	2020-06-01	97	46289333	-7906	7906	3486	4007	413
['SP, SP, *']	2020-06-02	98	46289333	-9222	9222	4506	4267	449
['SP, SP, *']	2020-06-03	99	46289333	-9714	9714	4834	4433	447
['SP, SP, *']	2020-06-04	100	46289333	-9524	9524	4499	4573	452
['SP, SP, *']	2020-06-05	101	46289333	-9431	9431	4622	4361	448
['SP, SP, *']	2020-06-06	102	46289333	-9545	9545	4444	4665	436
['SP, SP, *']	2020-06-07	103	46289333	-9536	9536	4311	4788	437
['SP, SP, *']	2020-06-08	104	46289333	-9513	9513	4096	4982	435
['SP, SP, *']	2020-06-09	105	46289333	-9098	9098	3794	4867	437
['SP, SP, *']	2020-06-10	106	46289333	-9381	9381	4163	4765	453
['SP, SP, *']	2020-06-11	107	46289333	-9520	9520	3654	5413	453
['SP, SP, *']	2020-06-12	108	46289333	-9524	9524	2970	6118	436
['SP, SP, *']	2020-06-13	109	46289333	-9236	9236	2254	6547	435
['SP, SP, *']	2020-06-14	110	46289333	-10037	10037	2830	6764	443
['SP, SP, *']	2020-06-15	111	46289333	-10533	10533	3302	6780	451
['SP, SP, *']	2020-06-16	112	46289333	-11471	11471	3127	7884	460
['SP, SP, *']	2020-06-17	113	46289333	-10057	10057	1271	8312	474
['SP, SP, *']	2020-06-18	114	46289333	-8602	8602	-51	8167	486
['SP, SP, *']	2020-06-19	115	46289333	-12502	12502	3959	8010	533
['SP, SP, *']	2020-06-20	116	46289333	-12262	12262	3566	8149	547
['SP, SP, *']	2020-06-21	117	46289333	-11709	11709	2997	8171	541
['SP, SP, *']	2020-06-22	118	46289333	-11575	11575	2848	8194	533
['SP, SP, *']	2020-06-23	119	46289333	-11197	11197	2831	7813	553
['SP, SP, *']	2020-06-24	120	46289333	-13516	13516	4943	8050	523
['SP, SP, *']	2020-06-25	121	46289333	-15988	15988	7187	8254	547
['SP, SP, *']	2020-06-26	122	46289333	-13386	13386	4448	8443	495
['SP, SP, *']	2020-06-27	123	46289333	-14225	14225	5441	8279	505
['SP, SP, *']	2020-06-28	124	46289333	-15015	15015	5542	8973	500
['SP, SP, *']	2020-06-29	125	46289333	-15192	15192	5311	9377	504
['SP, SP, *']	2020-06-30	126	46289333	-14830	14830	3986	10360	484
['SP, SP, *']	2020-07-01	127	46289333	-14604	14604	4830	9295	479
['SP, SP, *']	2020-07-02	128	46289333	-15312	15312	6733	8124	455
['SP, SP, *']	2020-07-03	129	46289333	-14860	14860	3149	11217	494
['SP, SP, *']	2020-07-04	130	46289333	-13414	13414	1869	11050	495
['SP, SP, *']	2020-07-05	131	46289333	-13841	13841	2739	10605	497
['SP, SP, *']	2020-07-06	132	46289333	-13693	13693	2692	10505	496
['SP, SP, *']	2020-07-07	133	46289333	-14665	14665	4036	10140	489
['SP, SP, *']	2020-07-08	134	46289333	-14694	14694	2152	12040	502
['SP, SP, *']	2020-07-09	135	46289333	-13582	13582	-1017	14094	505
['SP, SP, *']	2020-07-10	136	46289333	-13884	13884	1355	12030	499
['SP, SP, *']	2020-07-11	137	46289333	-15531	15531	2336	12708	487
['SP, SP, *']	2020-07-12	138	46289333	-14805	14805	844	13455	506
['SP, SP, *']	2020-07-13	139	46289333	-14725	14725	550	13668	507
['SP, SP, *']	2020-07-14	140	46289333	-15400	15400	1321	13551	528
['SP, SP, *']	2020-07-15	141	46289333	-14803	14803	1080	13194	529
['SP, SP, *']	2020-07-16	142	46289333	-14952	14952	869	13534	549
['SP, SP, *']	2020-07-17	143	46289333	-13801	13801	-457	13705	553
['SP, SP, *']	2020-07-18	144	46289333	-12896	12896	-163	12503	556
['SP, SP, *']	2020-07-19	145	46289333	-12301	12301	-1026	12789	538
['SP, SP, *']	2020-07-20	146	46289333	-11951	11951	-1236	12650	537
['SP, SP, *']	2020-07-21	147	46289333	-10303	10303	-3598	13373	528
['SP, SP, *']	2020-07-22	148	46289333	-13220	13220	-1043	13722	541
['SP, SP, *']	2020-07-23	149	46289333	-14274	14274	558	13186	530
['SP, SP, *']	2020-07-24	150	46289333	-15944	15944	2348	13073	523
['SP, SP, *']	2020-07-25	151	46289333	-19273	19273	4240	14499	534
['SP, SP, *']	2020-07-26	152	46289333	-19695	19695	5099	14061	535
['SP, SP, *']	2020-07-27	153	46289333	-20349	20349	5768	14042	539
['SP, SP, *']	2020-07-28	154	46289333	-22181	22181	7057	14585	539
['SP, SP, *']	2020-07-29	155	46289333	-21357	21357	6819	14007	531
['SP, SP, *']	2020-07-30	156	46289333	-22000	22000	7315	14166	519
['SP, SP, *']	2020-07-31	157	46289333	-22596	22596	8712	13372	512
['SP, SP, *']	2020-08-01	158	46289333	-20811	20811	7874	12446	491
['SP, SP, *']	2020-08-02	159	46289333	-21344	21344	8857	11998	489
['SP, SP, *']	2020-08-03	160	46289333	-20733	20733	8557	11693	483
['SP, SP, *']	2020-08-04	161	46289333	-21511	21511	10553	10489	469
['SP, SP, *']	2020-08-05	162	46289333	-20305	20305	6864	12950	491
['SP, SP, *']	2020-08-06	163	46289333	-19904	19904	5641	13766	497
['SP, SP, *']	2020-08-07	164	46289333	-18879	18879	3351	15031	497
['SP, SP, *']	2020-08-08	165	46289333	-19832	19832	1335	17988	509
['SP, SP, *']	2020-08-09	166	46289333	-19555	19555	779	18263	513
['SP, SP, *']	2020-08-10	167	46289333	-19485	19485	181	18794	510
['SP, SP, *']	2020-08-11	168	46289333	-18278	18278	-2586	20330	534
['SP, SP, *']	2020-08-12	169	46289333	-19976	19976	-126	19599	503
['SP, SP, *']	2020-08-13	170	46289333	-21653	21653	974	20143	536
['SP, SP, *']	2020-08-14	171	46289333	-22212	22212	1234	20441	537
['SP, SP, *']	2020-08-15	172	46289333	-21657	21657	2324	18829	504
['SP, SP, *']	2020-08-16	173	46289333	-20676	20676	973	19206	497
['SP, SP, *']	2020-08-17	174	46289333	-21214	21214	2062	18653	499
['SP, SP, *']	2020-08-18	175	46289333	-20562	20562	962	19102	498
['SP, SP, *']	2020-08-19	176	46289333	-18913	18913	-120	18541	492
['SP, SP, *']	2020-08-20	177	46289333	-16107	16107	-2693	18348	452
['SP, SP, *']	2020-08-21	178	46289333	-14239	14239	-3979	17777	441
['SP, SP, *']	2020-08-22	179	46289333	-14775	14775	-4764	19078	461
['SP, SP, *']	2020-08-23	180	46289333	-15610	15610	-3727	18876	461
['SP, SP, *']	2020-08-24	181	46289333	-15376	15376	-3992	18909	459
['SP, SP, *']	2020-08-25	182	46289333	-15469	15469	-3212	18225	456
['SP, SP, *']	2020-08-26	183	46289333	-15645	15645	-4266	19453	458
['SP, SP, *']	2020-08-27	184	46289333	-15321	15321	-6046	20936	431
['SP, SP, *']	2020-08-28	185	46289333	-17214	17214	-4631	21405	440
['SP, SP, *']	2020-08-29	186	46289333	-14163	14163	-6938	20693	408
['SP, SP, *']	2020-08-30	187	46289333	-14079	14079	-6272	19919	432
['SP, SP, *']	2020-08-31	188	46289333	-13675	13675	-7009	20253	431
['SP, SP, *']	2020-09-01	189	46289333	-13916	13916	-6266	19764	418
['SP, SP, *']	2020-09-02	190	46289333	-14342	14342	-4481	18400	423
['SP, SP, *']	2020-09-03	191	46289333	-15293	15293	-1254	16121	426
['SP, SP, *']	2020-09-04	192	46289333	-13945	13945	-1029	14575	399
['SP, SP, *']	2020-09-05	193	46289333	-15506	15506	-202	15281	427
['SP, SP, *']	2020-09-06	194	46289333	-14948	14948	-1419	15974	393
['SP, SP, *']	2020-09-07	195	46289333	-14910	14910	-1290	15814	386
['SP, SP, *']	2020-09-08	196	46289333	-12688	12688	-3510	15897	301
['SP, SP, *']	2020-09-09	197	46289333	-11499	11499	-5038	16209	328
['SP, SP, *']	2020-09-10	198	46289333	-10507	10507	-6034	16198	343
['SP, SP, *']	2020-09-11	199	46289333	-10798	10798	-7385	17827	356
['SP, SP, *']	2020-09-12	200	46289333	-10744	10744	-4801	15187	358
['SP, SP, *']	2020-09-13	201	46289333	-10439	10439	-4927	15008	358
['SP, SP, *']	2020-09-14	202	46289333	-10521	10521	-4562	14718	365
['SP, SP, *']	2020-09-15	203	46289333	-12139	12139	-3087	14788	438
['SP, SP, *']	2020-09-16	204	46289333	-12243	12243	-3037	14871	409
['SP, SP, *']	2020-09-17	205	46289333	-12019	12019	-3619	15247	391
['SP, SP, *']	2020-09-18	206	46289333	-11921	11921	-2312	13850	383
['SP, SP, *']	2020-09-19	207	46289333	-11709	11709	-3911	15231	389
['SP, SP, *']	2020-09-20	208	46289333	-12298	12298	-2973	14886	385
['SP, SP, *']	2020-09-21	209	46289333	-12567	12567	-2637	14821	383
['SP, SP, *']	2020-09-22	210	46289333	-12615	12615	-742	12985	372
['SP, SP, *']	2020-09-23	211	46289333	-12156	12156	-347	12149	354
['SP, SP, *']	2020-09-24	212	46289333	-11834	11834	96	11394	344
['SP, SP, *']	2020-09-25	213	46289333	-11540	11540	-727	11924	343
['SP, SP, *']	2020-09-26	214	46289333	-11204	11204	-564	11443	325
['SP, SP, *']	2020-09-27	215	46289333	-10553	10553	-907	11130	330
['SP, SP, *']	2020-09-28	216	46289333	-10231	10231	-1266	11171	326
['SP, SP, *']	2020-09-29	217	46289333	-9742	9742	-3067	12488	321
['SP, SP, *']	2020-09-30	218	46289333	-9616	9616	-3254	12547	323
['SP, SP, *']	2020-10-01	219	46289333	-9567	9567	-3115	12360	322
['SP, SP, *']	2020-10-02	220	46289333	-9261	9261	-3059	12012	308
['SP, SP, *']	2020-10-03	221	46289333	-9297	9297	-3097	12087	307
['SP, SP, *']	2020-10-04	222	46289333	-8980	8980	-3855	12535	300
['SP, SP, *']	2020-10-05	223	46289333	-8818	8818	-4217	12734	301
['SP, SP, *']	2020-10-06	224	46289333	-8949	8949	-3819	12454	314
['SP, SP, *']	2020-10-07	225	46289333	-8048	8048	-4190	11964	274
['SP, SP, *']	2020-10-08	226	46289333	-8765	8765	-3058	11514	309
['SP, SP, *']	2020-10-09	227	46289333	-8816	8816	-2904	11402	318
['SP, SP, *']	2020-10-10	228	46289333	-8968	8968	-2320	10977	311
['SP, SP, *']	2020-10-11	229	46289333	-9713	9713	-1000	10399	314
['SP, SP, *']	2020-10-12	230	46289333	-9811	9811	-633	10129	315
['SP, SP, *']	2020-10-13	231	46289333	-8054	8054	-2232	10051	235
['SP, SP, *']	2020-10-14	232	46289333	-8932	8932	-1288	9945	275
['SP, SP, *']	2020-10-15	233	46289333	-8345	8345	-1852	9967	230
['SP, SP, *']	2020-10-16	234	46289333	-7496	7496	-2372	9665	203
['SP, SP, *']	2020-10-17	235	46289333	-7948	7948	-1997	9725	220
['SP, SP, *']	2020-10-18	236	46289333	-7412	7412	-2331	9525	218
