Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
['Sudeste, SP, *']	2020-02-25	0	450000	450000	0	0	0
['Sudeste, SP, *']	2020-02-26	1	450000	449997	3	0	0
['Sudeste, SP, *']	2020-02-27	2	450000	449997	3	0	0
['Sudeste, SP, *']	2020-02-28	3	450000	449997	3	0	0
['Sudeste, SP, *']	2020-02-29	4	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-01	5	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-02	6	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-03	7	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-04	8	450000	449991	9	0	0
['Sudeste, SP, *']	2020-03-05	9	450000	449982	18	0	0
['Sudeste, SP, *']	2020-03-06	10	450000	449970	30	0	0
['Sudeste, SP, *']	2020-03-07	11	450000	449961	39	0	0
['Sudeste, SP, *']	2020-03-08	12	450000	449952	48	0	0
['Sudeste, SP, *']	2020-03-09	13	450000	449952	48	0	0
['Sudeste, SP, *']	2020-03-10	14	450000	449943	57	0	0
['Sudeste, SP, *']	2020-03-11	15	450000	449910	88	2	0
['Sudeste, SP, *']	2020-03-12	16	450000	449874	124	2	0
['Sudeste, SP, *']	2020-03-13	17	450000	449832	166	2	0
['Sudeste, SP, *']	2020-03-14	18	450000	449805	191	4	0
['Sudeste, SP, *']	2020-03-15	19	450000	449592	404	4	0
['Sudeste, SP, *']	2020-03-16	20	450000	449544	452	4	0
['Sudeste, SP, *']	2020-03-17	21	450000	449508	485	4	3
['Sudeste, SP, *']	2020-03-18	22	450000	449280	702	6	12
['Sudeste, SP, *']	2020-03-19	23	450000	449142	833	13	12
['Sudeste, SP, *']	2020-03-20	24	450000	448812	1139	22	27
['Sudeste, SP, *']	2020-03-21	25	450000	448623	1303	29	45
['Sudeste, SP, *']	2020-03-22	26	450000	448107	1791	36	66
['Sudeste, SP, *']	2020-03-23	27	450000	447765	2109	36	90
['Sudeste, SP, *']	2020-03-24	28	450000	447570	2267	43	120
['Sudeste, SP, *']	2020-03-25	29	450000	447414	2372	70	144
['Sudeste, SP, *']	2020-03-26	30	450000	446844	2883	99	174
['Sudeste, SP, *']	2020-03-27	31	450000	446331	3332	133	204
['Sudeste, SP, *']	2020-03-28	32	450000	445782	3811	155	252
['Sudeste, SP, *']	2020-03-29	33	450000	445647	3732	327	294
['Sudeste, SP, *']	2020-03-30	34	450000	445449	3847	365	339
['Sudeste, SP, *']	2020-03-31	35	450000	442983	6215	394	408
['Sudeste, SP, *']	2020-04-01	36	450000	441057	7872	579	492
['Sudeste, SP, *']	2020-04-02	37	450000	439482	9262	692	564
['Sudeste, SP, *']	2020-04-03	38	450000	437856	10527	960	657
['Sudeste, SP, *']	2020-04-04	39	450000	436602	11504	1114	780
['Sudeste, SP, *']	2020-04-05	40	450000	436140	11502	1533	825
['Sudeste, SP, *']	2020-04-06	41	450000	435402	11876	1810	912
['Sudeste, SP, *']	2020-04-07	42	450000	432954	13964	1969	1113
['Sudeste, SP, *']	2020-04-08	43	450000	429876	16740	2100	1284
['Sudeste, SP, *']	2020-04-09	44	450000	427560	18386	2566	1488
['Sudeste, SP, *']	2020-04-10	45	450000	425352	20041	2987	1620
['Sudeste, SP, *']	2020-04-11	46	450000	424743	20142	3435	1680
['Sudeste, SP, *']	2020-04-12	47	450000	423735	20927	3574	1764
['Sudeste, SP, *']	2020-04-13	48	450000	423315	21120	3741	1824
['Sudeste, SP, *']	2020-04-14	49	450000	421887	20285	5743	2085
['Sudeste, SP, *']	2020-04-15	50	450000	416871	23460	7335	2334
['Sudeste, SP, *']	2020-04-16	51	450000	415296	23515	8630	2559
['Sudeste, SP, *']	2020-04-17	52	450000	411477	25746	9993	2784
['Sudeste, SP, *']	2020-04-18	53	450000	408318	27674	11035	2973
['Sudeste, SP, *']	2020-04-19	54	450000	407199	28275	11481	3045
['Sudeste, SP, *']	2020-04-20	55	450000	406260	28503	12126	3111
['Sudeste, SP, *']	2020-04-21	56	450000	403845	28740	14136	3279
['Sudeste, SP, *']	2020-04-22	57	450000	402258	27688	16652	3402
['Sudeste, SP, *']	2020-04-23	58	450000	399780	27576	18609	4035
['Sudeste, SP, *']	2020-04-24	59	450000	396522	28471	20471	4536
['Sudeste, SP, *']	2020-04-25	60	450000	389988	33969	21042	5001
['Sudeste, SP, *']	2020-04-26	61	450000	387855	35157	21888	5100
['Sudeste, SP, *']	2020-04-27	62	450000	384912	37355	22258	5475
['Sudeste, SP, *']	2020-04-28	63	450000	377877	42215	23761	6147
['Sudeste, SP, *']	2020-04-29	64	450000	371526	43628	28105	6741
['Sudeste, SP, *']	2020-04-30	65	450000	363906	49361	29608	7125
['Sudeste, SP, *']	2020-05-01	66	450000	358878	50644	32945	7533
['Sudeste, SP, *']	2020-05-02	67	450000	356478	50076	35688	7758
['Sudeste, SP, *']	2020-05-03	68	450000	354684	50751	36684	7881
['Sudeste, SP, *']	2020-05-04	69	450000	353439	51034	37565	7962
['Sudeste, SP, *']	2020-05-05	70	450000	347841	53733	39873	8553
['Sudeste, SP, *']	2020-05-06	71	450000	336441	62827	41597	9135
['Sudeste, SP, *']	2020-05-07	72	450000	330216	66210	43956	9618
['Sudeste, SP, *']	2020-05-08	73	450000	324510	68313	46929	10248
['Sudeste, SP, *']	2020-05-09	74	450000	316767	70075	52334	10824
['Sudeste, SP, *']	2020-05-10	75	450000	313668	70996	54209	11127
['Sudeste, SP, *']	2020-05-11	76	450000	311607	70503	56661	11229
['Sudeste, SP, *']	2020-05-12	77	450000	306843	68628	62682	11847
['Sudeste, SP, *']	2020-05-13	78	450000	296709	72313	68624	12354
['Sudeste, SP, *']	2020-05-14	79	450000	287142	74818	75095	12945
['Sudeste, SP, *']	2020-05-15	80	450000	274866	81848	79783	13503
['Sudeste, SP, *']	2020-05-16	81	450000	266451	87254	82231	14064
['Sudeste, SP, *']	2020-05-17	82	450000	262965	88826	83863	14346
['Sudeste, SP, *']	2020-05-18	83	450000	260802	89690	85039	14469
['Sudeste, SP, *']	2020-05-19	84	450000	252015	92511	90033	15441
['Sudeste, SP, *']	2020-05-20	85	450000	240423	93845	99643	16089
['Sudeste, SP, *']	2020-05-21	86	450000	228783	99396	105147	16674
['Sudeste, SP, *']	2020-05-22	87	450000	219387	102959	110335	17319
['Sudeste, SP, *']	2020-05-23	88	450000	208326	105987	117552	18135
['Sudeste, SP, *']	2020-05-24	89	450000	203517	107583	120411	18489
['Sudeste, SP, *']	2020-05-25	90	450000	199125	109702	122513	18660
['Sudeste, SP, *']	2020-05-26	91	450000	191949	111354	127428	19269
['Sudeste, SP, *']	2020-05-27	92	450000	181551	111537	136776	20136
['Sudeste, SP, *']	2020-05-28	93	450000	162405	120985	145670	20940
['Sudeste, SP, *']	2020-05-29	94	450000	145332	126335	156508	21825
['Sudeste, SP, *']	2020-05-30	95	450000	128574	135012	163818	22596
['Sudeste, SP, *']	2020-05-31	96	450000	120906	139301	166948	22845
['Sudeste, SP, *']	2020-06-01	97	450000	116112	141966	168921	23001
['Sudeste, SP, *']	2020-06-02	98	450000	95115	153961	176942	23982
['Sudeste, SP, *']	2020-06-03	99	450000	79551	157615	188006	24828